scorer,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000,DeepCut_resnet50_leech_checkerboardAug16shuffle1_50000
bodyparts,head,head,head,neck,neck,neck,mid,mid,mid,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,272.4901623725891,361.1229543685913,0.9997207522392273,287.83974027633667,378.8568357229233,0.9999985694885254,292.89330595731735,393.9798913002014,0.9999973773956299,300.14576625823975,409.30673480033875,0.999760091304779
1,272.22448682785034,360.91437339782715,0.9997857213020325,288.16642355918884,379.9950929819606,0.9999992847442627,292.42214104533195,394.2615052461624,0.9999991655349731,299.7824501991272,408.65731382369995,0.9997208714485168
2,267.58295318484306,358.8993799686432,0.999955415725708,287.42129707336426,376.2370810508728,0.9999991655349731,292.44701367616653,393.5940611362457,0.9999994039535522,300.76483058929443,409.3198707103729,0.9998924732208252
3,267.520451515913,358.2524151802063,0.9999736547470093,286.70328307151794,375.84832215309143,0.9999991655349731,292.50937736034393,393.53790760040283,0.9999973773956299,300.38959980010986,408.75983357429504,0.9999567270278931
4,264.19031047821045,356.0833680331707,0.999997615814209,286.033634185791,376.27744722366333,0.9999985694885254,292.3339247107506,393.53086972236633,0.9999995231628418,300.9010763168335,408.15683460235596,0.9998571872711182
5,263.76051473617554,356.6261252760887,0.9999985694885254,286.0460572242737,376.5586829185486,0.9999971389770508,292.05736477673054,394.00532257556915,0.9999991655349731,300.32597637176514,407.7538504600525,0.9998672008514404
6,262.23064398765564,355.91199124604464,0.9999994039535522,286.03033089637756,375.70627903938293,0.9999991655349731,291.39433681964874,393.31155276298523,0.9999978542327881,300.6543502807617,408.138267993927,0.999887228012085
7,262.6640067100525,357.14979779720306,0.9999992847442627,285.26123321056366,375.88653349876404,0.999998927116394,291.86905032396317,393.34063148498535,0.9999979734420776,300.53238677978516,407.7759852409363,0.9998605251312256
8,261.4287933111191,358.31100368499756,0.9993497729301453,284.4747752249241,375.5728552341461,0.9999994039535522,291.7260463833809,392.51788330078125,0.9999938011169434,301.9076461791992,407.9625792503357,0.9995942711830139
9,261.0198048353195,358.6786484718323,0.9995582699775696,284.79470723867416,375.16783475875854,0.9999991655349731,291.5645925998688,392.2160427570343,0.9999922513961792,301.87254333496094,406.8223555088043,0.9995575547218323
10,258.53906631469727,359.6506862640381,0.9997790455818176,283.3022916316986,376.12981128692627,0.9999994039535522,290.9510221481323,392.0851774215698,0.9999958276748657,301.8446192741394,406.68744945526123,0.9995052814483643
11,257.34301948547363,365.1986891031265,0.9936606287956238,282.58150720596313,374.9483060836792,0.9999994039535522,290.96372509002686,391.9381651878357,0.9999918937683105,301.55052077770233,407.0739779472351,0.9994221925735474
12,255.37581729888916,360.93528938293457,0.9975806474685669,281.5021004676819,375.4869501590729,0.9999997615814209,290.24302220344543,391.63418102264404,0.9999912977218628,301.7520512342453,406.7004933357239,0.9996024966239929
13,256.3802671432495,360.2924838066101,0.9996389150619507,281.4661922454834,376.0591354370117,0.9999995231628418,290.2683049440384,392.3996925354004,0.99998939037323,302.0601968765259,407.453670501709,0.9998311996459961
14,257.0522971153259,366.6889204978943,0.9865331649780273,280.93800926208496,376.19407653808594,0.9999997615814209,289.6382727622986,392.37777280807495,0.9999897480010986,301.7635226249695,406.745733499527,0.9996906518936157
15,254.54096865653992,366.6150486469269,0.9384315013885498,280.26584577560425,374.6382791996002,0.9999998807907104,290.7995934486389,392.32225227355957,0.9999896287918091,301.9381015300751,406.84902572631836,0.9996769428253174
16,254.42121171951294,366.94006848335266,0.9966791868209839,280.840313911438,375.6975886821747,0.9999997615814209,289.5772371292114,392.59570956230164,0.9999912977218628,302.12460803985596,407.8259160518646,0.9998283386230469
17,255.0731599330902,368.3257279396057,0.9839408993721008,279.8894724845886,375.6543483734131,0.9999998807907104,290.5629736185074,392.6703591346741,0.9999880790710449,302.4063844680786,407.1379699707031,0.9999290704727173
18,253.6171748638153,369.2829029560089,0.9989118576049805,279.5458171367645,375.76685094833374,0.9999998807907104,289.49092149734497,392.45890951156616,0.9999804496765137,301.6537666320801,407.3892436027527,0.9998363256454468
19,254.06111574172974,370.54935479164124,0.9977432489395142,279.2976312637329,376.15711069107056,0.9999998807907104,289.2493534088135,392.70927834510803,0.9999892711639404,302.35318422317505,407.5423412322998,0.9998757839202881
20,249.3993444442749,370.5699151754379,0.995355486869812,279.0943307876587,375.7339696884155,0.9999998807907104,289.2248773574829,393.0699815750122,0.9999879598617554,301.81316912174225,407.48996114730835,0.9998594522476196
21,249.12380170822144,370.3457268476486,0.9987896084785461,278.76523756980896,376.267786026001,0.9999998807907104,289.3374607563019,393.0636763572693,0.9999852180480957,301.8466120958328,407.04501819610596,0.9997363686561584
22,247.3383014202118,370.22613048553467,0.9998928308486938,278.31215715408325,376.4895210266113,0.9999997615814209,289.43179202079773,393.4725651741028,0.9999879598617554,302.07329535484314,406.68396615982056,0.999721109867096
23,247.89245104789734,370.88361716270447,0.9999361038208008,276.8882274031639,378.4858418703079,0.9999995231628418,289.5218005180359,393.72780323028564,0.9999908208847046,302.7195739746094,407.8360962867737,0.9998189806938171
24,245.7225034236908,370.21325957775116,0.999992847442627,275.69993901252747,378.6628611087799,0.9999991655349731,289.3090329170227,393.456768989563,0.9999892711639404,302.55570554733276,407.35884261131287,0.9997524619102478
25,246.51346015930176,371.08878630399704,0.999984860420227,278.0274395942688,378.46638774871826,0.9999997615814209,289.09752130508423,392.8429458141327,0.9999638795852661,300.98838448524475,405.22677981853485,0.999711811542511
26,246.5509738922119,369.9582016468048,0.9999881982803345,276.34663489460945,379.49191069602966,0.9999996423721313,288.94916343688965,392.8636779785156,0.9999656677246094,300.53762340545654,405.6888700723648,0.9997554421424866
27,246.20463705062866,369.30273604393005,0.9999943971633911,275.71376579999924,378.9986072778702,0.9999996423721313,288.8963804244995,392.4063687324524,0.9999750852584839,301.1548022031784,405.81697165966034,0.999897837638855
28,245.9872750043869,366.758398771286,0.9999920129776001,275.67564284801483,379.20067501068115,0.9999997615814209,288.6018784046173,393.19413805007935,0.9999825954437256,301.7391446828842,406.69517040252686,0.9998682737350464
29,245.880641579628,366.37517642974854,0.9999977350234985,275.17093127965927,379.4477661252022,0.9999996423721313,288.60208678245544,393.614865064621,0.9999890327453613,301.34374475479126,406.96957993507385,0.999812662601471
30,246.00983715057373,366.19130659103394,0.9999967813491821,274.9820177555084,379.3886659145355,0.9999994039535522,288.289080619812,393.3074026107788,0.9999622106552124,301.8075523376465,407.04861521720886,0.99979168176651
31,245.9117032289505,365.7659524679184,0.9999954700469971,274.9254355430603,379.12185966968536,0.9999994039535522,288.777272939682,393.54545426368713,0.9999735355377197,301.3817992210388,406.4471435546875,0.9997349381446838
32,246.74542903900146,364.47402188181877,0.9999886751174927,275.96476144343615,379.7153494358063,0.9999994039535522,289.07742190361023,394.27164232730865,0.9999860525131226,301.30155062675476,406.7277171611786,0.9997217059135437
33,248.3188214302063,365.15936183929443,0.9999836683273315,276.2589245438576,379.830601811409,0.9999994039535522,288.83149123191833,394.3039058446884,0.9999850988388062,301.57544469833374,406.0698175430298,0.9996459484100342
